tile,desc,label
"FPT Ngũ Hành Sơn, Bia Hơi Tuấn Còi cần ","Cần tuyển dụng
Nhân viên phục vụ thời vụ hoặc lâu dài, bao ăn ở có thể đi làm ngay
3 nam phục vụ
2 nữ
Ca1: 15h- 23h
Ca 2: 17h-12h
C3 18h - hết khách
Lương cao
Yêu cầu: Biết việc,nhanh nhẹn, chịu khó
Lh 0905497785",1
"Nhà hàng Hải Sản Lão Đại Đà Nẵng - Lô A2-1 Võ Văn Kiệt, Đà Nẵng Tuyển :
","- Nhân viên : 8 người
     ★★★ Ca: 17h00 - 23h00 , lương từ 3.500.000  đến 4.000.000 + Tiền típ
     ★★★ Ca 2: 17h00 - 24h00 , lương 4.000.000 - 4.500.000 + Tiền típ
🎇🎇🎇ĐÃI NGỘ TỐT VỚI NHỮNG BẠN CẦN CÔNG VIỆC LÂU DÀI, ỔN ĐỊNH
- Liên Hệ: Inbox ZALO 0335766352 để phỏng vấn.
   Địa chỉ: Lô A2-1 Võ Văn Kiệt, Sơn Trà, Đà Nẵng",1
📌BỔ SUNG NGƯỜI PHỤ BÁN ĐỒ ĐÓNG HỘP TẠI #ĐN ,"* Có 2 ca: Sáng (8h-11h30), Chiều (13h30-17h)
* Thu nhập: Full-time (~8tr), Part-time (~3tr5)
* Yêu cầu trên 20 tuổi (không còn đi học)
* Không yêu cầu bằng cấp, kinh nghiệm, kỹ năng, nhưng cần chịu khó, thái độ tốt
* Môi trường làm việc thân thiện
☎️ Quan tâm liên hệ trực tiếp hoặc qua sđt: 0898404992
#xinvieclam #tuyendung",1
"Cần tuyển bạn nữ phụ bán tạp hoá ca tối
","🗣️Thời gian: 17H-23H ( tháng dc nghỉ 1 ngày)
🗣️ Lương 18k/H+ thưởng+ bao ăn
🗣️Yêu cầu: Siêng năng và thật thà
🗣️Địa chỉ 257 Hoài Thanh( Gần trường Đại Học Kinh Tế)
🗣️Liên hệ Zalo: 0932492203",1
"CẦN THÊM NGƯỜI PHỤ VIỆC TẠI ĐÀ NẴNG
","  👉 Công Việc : khách đến mua cần gì lấy đó
                             Hỗ trợ tư vấn , giải đáp thắc mắc sản phẩm cho khách
                             Hỗ trợ khách về
  👉 Giờ Làm Việc : 8h đến 17h00
                                  Nghỉ 4 ngày / tháng
          💵7.000.000 đến 8.000.000 vnđ 💵
  🌟 YÊU CẦU :
                   Đủ 18 tuổi , ko phải là sinh viên
                   Thật thà , ham học hỏi
     KO YÊU CẦU KINH NGHIỆM, BẰNG CẤP
        👉 Thử việc oke nhận làm luôn 👈
            Liên hệ sđt hoặc nhắn tin Zalo
                       0989312438 ( Nga )",1
"Chị mình đang cần 2 bạn phụ bán hàng ,kiểm tra hàng tại kho CN Đà Nẵng,Quảng Nam",8h đi 5h về - cn nghỉ ko tăng ca.Ưu tiên người gọi 0938.736.306(ko trao đổi tn),0
"#CẦN_GẤP 2 NỮ PHỤ BÁN HÀNG
","+ 100% làm tại chỗ
+ Khu Vực : Hải Châu - Thanh Khê
+ Tuổi : Nữ 20 - 50
+ Thời gian: 8h - 17h
+ Thu Nhập: trên 8 triệu + thưởng
+ Được hướng dẫn trước khi làm
+ Ai thực sự cần tìm việc nghiêm túc liên hệ  📞📞📞 Yêu Cầu gọi trực tiếp:0888350134",0
Do nhiều việc ," e cần gấp 2 chị phụ bán
Làm từ 8h-17h về ( chủ nhật nghỉ ).Tháng 8-10tr. Mọi chi tiết lh zalo 0876877104",0
"Tuyển Nhân Viên Bán Hàng tại chỗ Đường Đỗ Bá - Nguyễn Văn Thoại ( Khu vực Ngũ Hành Sơn )
","1.Công Việc : nướng xúc xích.
2. Số lượng :  1 bạn ( Nữ )
👉🏻 Thời gian : Chiều tối ca 6 tiếng 18h-24h
💥 Địa chỉ : Đỗ Bá - Ngũ Hành Sơn - Đà Nẵng ( Sau lưng trường Đh Kinh Tế ).
🌹 Ace nào cần việc cứ lh em nhé, ưu tiên làm việc lâu dài.
 Quyền lợi:
- Làm trong môi trường thoải mái,vui vẻ.
- Thu Nhập: 1h/20k + Thưởng [ sẽ phụ thuộc vào chuyên cần và làm thêm giờ ].
- Sẽ được hướng dẫn cụ thể công việc.
📞LH: 0905 379 762 - 0765 861 886 để trao đổi trực tiếp.",1
🫵🏻 CẦN TÌM NGƯỜI BÁN CAFE Ở HẢI CHÂU🫵🏻,"🤜🏻Thời gian:
 • Sáng: 7h – 11h30
 • Chiều: 13h30 – 17h
 • Làm cả ngày hoặc nửa ngày
🤜🏻Thu nhập 💰:
           3.5 triệu – 7.2 triệu / tháng
      ( Nhận vào ngày 10 hằng tháng )
🤜🏻Yêu cầu:
 • Tuổi 20 – 35
 • Không cần kinh nghiệm
 • Thái độ tốt, chăm chỉ , có trách nhiệm
🤙🏻 Liên hệ : 039 356 4395 (Zalo)",1
🫧 CẦN TUYỂN NGƯỜI PHỤ GIÚP CÔNG VIỆC 🫧,"🌈 Thời gian làm việc:
 • Ca sáng : 8h00 – 11h30
 • Ca chiều: 13h30 – 17h00
🌈 Thu nhập:
 • Làm nửa ngày : 4 triệu /tháng
 • Làm cả ngày : 8 triệu /tháng
🌈 Yêu cầu:
 • Tuổi từ 20 đến 45
 • Có trách nhiệm, chủ động trong công việc
 • Không yêu cầu kinh nghiệm hay ngoại hình
Ưu tiên :
 • Sinh viên đã tốt nghiệp
 • Anh/chị dưới 30 tuổi (U30)
Liên hệ :
 • Inbox trực tiếp hoặc Zalo: 039 356 4395",1
"🤵🏼‍♀️ CẦN TÌM NGƯỜI BÁN CAFE , THỨC UỐNG🤵🏼","     Khu vực : Cẩm Lệ
   🌙Độ tuổi :  18 - 30 tuổi
 Thái độ Tốt , vui vẻ , nhiệt tình với khách
    💰  :   3tr5   / Tháng ( parttime )
                7tr5  / Tháng ( fulltime )
   🌙 Tự đăng ký theo lịch của bạn : 2 ca
  • Ca 1 :  7h30 - 11h30
  • Ca 2 : 13h30 - 17h30
Liên hệ zalo/gọi 039 3564395",0
🌻 CẦN NGƯỜI LÀM VIỆC TRỰC TIẾP TẠI ĐÀ NẴNG VIỆC LÀM TẠI  CHỖ,"( LÀM GIỜ HÀNH CHÍNH)
✅ 3 NỮ, ĐỘ TUỔI 23 -56T
           ( TN khởi điểm 8.5 triệu )
LH 0979.664.946  ( hoặc Zalo)",0
❤️‍🔥𝐜𝐚̂̀𝐧 𝐠𝐚̂́𝐩 𝟐 𝐛𝐚̣𝐧 𝐩𝐡𝐮̣ 𝐦𝐢̀𝐧𝐡 𝐛𝐚́𝐧 𝐡𝐚̀𝐧𝐠 🛍️,"🌷𝐓𝐚̣𝐢 𝐤𝐡𝐮 𝐯𝐮̛̣𝐜 𝐇𝐚̉𝐢 𝐜𝐡𝐚̂𝐮 𝟖-𝟏𝟎 𝐭𝐫/𝐭𝐡𝐚́𝐧𝐠.𝐧𝐠𝐚̀𝐲 𝟖 𝐭𝐢𝐞̂́𝐧𝐠 𝐜𝐡𝐮̉ 𝐧𝐡𝐚̣̂𝐭 ,𝐥𝐞̂̃ 𝐧𝐠𝐡𝐢̉ 💖𝟏𝟗 𝐭𝐮𝐨̂̉𝐢 𝐭𝐫𝐨̛̉ 𝐥𝐞̂𝐧 - 𝐠𝐨̣𝐢 𝐧𝐠𝐚𝐲 𝟎𝟗𝟎𝟓𝟐𝟔𝟏𝟒𝟖𝟕 𝐭𝐫𝐚𝐨 𝐝𝐨̂̉𝐢 / 𝐳𝐚𝐥𝐨 🐬",0
TUYỂN DỤNG NHÂN SỰ - GIA NHẬP Nhà Linh NGAY HÔM NAY! 🌿,"Chuỗi nhà hàng Cơm Nhà Linh & Bếp Nhà Linh đang mở rộng quy mô và tìm kiếm những ứng viên tiềm năng cho các vị trí sau:
Tại Đà Nẵng
🔹𝑩𝒐̣̂ 𝒑𝒉𝒂̣̂𝒏 𝒑𝒉𝒖̣𝒄 𝒗𝒖̣:
01 Nữ - Lễ tân: Lương cứng 8tr + tips + thưởng
y/c Tiếng Anh giao tiếp
Full Time: 10h - 22h ( nghỉ 2 tiếng )
Part time: 10h - 14h hoặc 17h - 22h
💰𝑸𝒖𝒚𝒆̂̀𝒏 𝒍𝒐̛̣𝒊 𝒉𝒂̂́𝒑 𝒅𝒂̂̃𝒏:
✅Lương + Thưởng + Tip + Cơm ca
✅Nghỉ 02 ngày/tháng
✅Hưởng BHXH, BHYT, BHTN khi làm việc lâu dài
✅Lương tháng 13 + Thưởng Tết
🎯𝒀𝒆̂𝒖 𝒄𝒂̂̀𝒖:
🔹Ngoại hình ưa nhìn, có kinh nghiệm là lợi thế
🔹Tinh thần làm việc nhóm, chăm chỉ, cầu tiến
📞𝑼̛́𝒏𝒈 𝒕𝒖𝒚𝒆̂̉𝒏 𝒏𝒈𝒂𝒚:
📲Zalo/sms : 0962068987
Email: danangbranch@comnhalinh.com
📍Hoặc nộp hồ sơ tại: 35 An Thượng 26, P. Mỹ An, Q. Ngũ Hành Sơn, Đà Nẵng
👉Đừng chần chừ, cơ hội tốt đang chờ bạn! 🚀",1
📍Cần người phụ bán hàng tại chỗ ở #HaiChau#ThanhKhe#DaNang ,"   Thời gian : + Sáng : 8h - 11h30
                       + Chiều : 13h30 - 17h
    ( KHÔNG NHẬN SINH VIÊN )
💲Thu Nhập : 4tiếng : 2tr5 - 4tr
                     8tiếng : 6tr - 8tr
 Làm tốt được thưởng , đi du lịch , đi chơi thoải mái
     🍀 Yêu cầu : trên 21tuổi ,nghiêm túc , lâu dài
 Liên hệ 0877833824 hoặc ib trực tiếp
",1
📢📢CHỊ ĐANG CẦN VÀI BẠN PHỤ CHỊ BÁN HÀNG #đànẵng,"⏰️ Thời gian:
          Sáng: 7h30 - 11h30
          Chiều: 13h30 - 17h30
           ( Xoay ca linh hoạt )
ƯU TIÊN : làm lâu dài
💰 Thu nhập:
          Ca 4h: 3.500.000VNĐ + thưởng
          Ca 8h: 7.500.000VNĐ + thưởng
YÊU CẦU:
- Từ đủ 19 TUỔI trở lên, thái độ tốt
- Không cần kinh nghiệm ,  bằng cấp
- Công việc nghiêm túc, không phí
🔎 Khu vực: Thanh Khê và Hải Châu
☎AI CÓ NHU CẦU LIÊN HỆ TRỰC TIẾP ĐỂ TRAO ĐỔI (0387208221)",0
Bổ sung nhân sự 👨‍💼👩‍💼,"A cần tuyển 2 nam + 2 nữ 👫
Phục vụ quán nhậu 🍻🥂
Thời gian làm từ 16h30 đến 23h30 hoặc 17h đến 24h ⏰
Lương 18k-20k/h 💰 bao ăn trong ca làm 🎁
Tip ÷ thưởng ( 1500k đến 2000k/tháng )
1 tháng được nghỉ 2 ngày
Trừ những ngày cuối tuần . 🚫
Địa chỉ "" 18 mai thúc lân "" 📍
Quán môi trường vui vẻ , hòa đồng ! 🎉😄
",1
🌻cơ sở thực phẩm sạch mở rộng chi nhánh Cần người làm việc tại đà nẵng ,"✅   : CÔNG VIỆC
🍀báo giá, kiểm tra giao nhận hàng , hỗ trợ khách hàng
⏰ Thời gian: làm Giờ hành chính
( Sáng 8h đến - 17 h chiều )
💲TN Khởi điểm: 7.5 tr đến 9tr /tháng,
       (Tùy vị trí công việc)
 Trưa nghỉ 2 tiếng
* Yêu cầu:độ tuổi  23t - 55 t
 không cần kinh nghiệm, cần chịu khó ,siêng năng , nhiệt tình vui vẻ
☎️ LIÊN HỆ SDT  0979.664.946 (hoặc Zalo) để nhận việc làm ngay",
